"TemplateName","AutoEnrollmentFlag","EnrollmentFlag","IdentityReference","ActiveDirectoryRights","AccessControlType","ObjectTypeGUID","IsExplicitEnroll","IsExplicitAutoEnroll"
"Administrator",,,"NT AUTHORITY\Authenticated Users","GenericRead","Allow","00000000-0000-0000-0000-000000000000","False","False"
"Administrator",,,"ludus\Domain Admins","CreateChild, DeleteChild, Self, WriteProperty, DeleteTree, Delete, GenericRead, WriteDacl, WriteOwner","Allow","00000000-0000-0000-0000-000000000000","False","False"
"Administrator",,,"ludus\Enterprise Admins","CreateChild, DeleteChild, Self, WriteProperty, DeleteTree, Delete, GenericRead, WriteDacl, WriteOwner","Allow","00000000-0000-0000-0000-000000000000","False","False"
"Administrator",,,"ludus\Domain Admins","ReadProperty, WriteProperty, ExtendedRight","Allow","0e10c968-78fb-11d2-90d4-00c04f79dc55","False","False"
"Administrator",,,"ludus\Enterprise Admins","ReadProperty, WriteProperty, ExtendedRight","Allow","0e10c968-78fb-11d2-90d4-00c04f79dc55","False","False"
"Root Certification Authority",,,"NT AUTHORITY\Authenticated Users","GenericRead","Allow","00000000-0000-0000-0000-000000000000","False","False"
"Root Certification Authority",,,"ludus\Domain Admins","CreateChild, DeleteChild, Self, WriteProperty, DeleteTree, Delete, GenericRead, WriteDacl, WriteOwner","Allow","00000000-0000-0000-0000-000000000000","False","False"
"Root Certification Authority",,,"ludus\Enterprise Admins","CreateChild, DeleteChild, Self, WriteProperty, DeleteTree, Delete, GenericRead, WriteDacl, WriteOwner","Allow","00000000-0000-0000-0000-000000000000","False","False"
"Root Certification Authority",,,"ludus\Domain Admins","ReadProperty, WriteProperty, ExtendedRight","Allow","0e10c968-78fb-11d2-90d4-00c04f79dc55","False","False"
"Root Certification Authority",,,"ludus\Enterprise Admins","ReadProperty, WriteProperty, ExtendedRight","Allow","0e10c968-78fb-11d2-90d4-00c04f79dc55","False","False"
"CA Exchange",,,"NT AUTHORITY\Authenticated Users","GenericRead","Allow","00000000-0000-0000-0000-000000000000","False","False"
"CA Exchange",,,"ludus\Domain Admins","CreateChild, DeleteChild, Self, WriteProperty, DeleteTree, Delete, GenericRead, WriteDacl, WriteOwner","Allow","00000000-0000-0000-0000-000000000000","False","False"
"CA Exchange",,,"ludus\Enterprise Admins","CreateChild, DeleteChild, Self, WriteProperty, DeleteTree, Delete, GenericRead, WriteDacl, WriteOwner","Allow","00000000-0000-0000-0000-000000000000","False","False"
"CA Exchange",,,"ludus\Domain Admins","ReadProperty, WriteProperty, ExtendedRight","Allow","0e10c968-78fb-11d2-90d4-00c04f79dc55","False","False"
"CA Exchange",,,"ludus\Enterprise Admins","ReadProperty, WriteProperty, ExtendedRight","Allow","0e10c968-78fb-11d2-90d4-00c04f79dc55","False","False"
"CEP Encryption",,,"NT AUTHORITY\Authenticated Users","GenericRead","Allow","00000000-0000-0000-0000-000000000000","False","False"
"CEP Encryption",,,"ludus\Domain Admins","CreateChild, DeleteChild, Self, WriteProperty, DeleteTree, Delete, GenericRead, WriteDacl, WriteOwner","Allow","00000000-0000-0000-0000-000000000000","False","False"
"CEP Encryption",,,"ludus\Enterprise Admins","CreateChild, DeleteChild, Self, WriteProperty, DeleteTree, Delete, GenericRead, WriteDacl, WriteOwner","Allow","00000000-0000-0000-0000-000000000000","False","False"
"CEP Encryption",,,"ludus\Domain Admins","ReadProperty, WriteProperty, ExtendedRight","Allow","0e10c968-78fb-11d2-90d4-00c04f79dc55","False","False"
"CEP Encryption",,,"ludus\Enterprise Admins","ReadProperty, WriteProperty, ExtendedRight","Allow","0e10c968-78fb-11d2-90d4-00c04f79dc55","False","False"
